what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426028475605
java.vm.specification.version,sysinfo,,,"1.0",1426028475605
java.vm.vendor,sysinfo,,,"Apple Inc.",1426028475605
java.vm.version,sysinfo,,,"20.65-b04-466.1",1426028475605
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1426028475622
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1426028476682
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426028480152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426028480239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028499972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028501088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028517285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028524896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028528190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1426028528280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028533023
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426028534982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028537258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028537505
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1426028546349
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1426028549098
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1426028549130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028560010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426028561276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426028561708
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1426028564150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426028565555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1426028569822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426028570400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426028616295
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426028617221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426028617310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1426028620355
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426028622961
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426028623039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426028628031
